RESOLUTION:3120,2080
1753619474.667,587,1488
1753619474.667,586,1489
1753619474.682,586,1490
1753619474.682,585,1491
1753619474.698,583,1494
1753619474.698,582,1495
1753619474.698,581,1496
1753619474.714,580,1497
1753619474.714,579,1500
1753619474.729,579,1501
1753619474.729,577,1502
1753619474.745,576,1503
1753619474.745,576,1504
1753619474.76,576,1506
1753619474.76,575,1507
1753619474.776,574,1508
1753619474.792,574,1509
1753619474.792,573,1509
1753619474.807,572,1510
1753619474.807,572,1511
1753619474.823,571,1512
1753619474.823,571,1514
1753619474.823,569,1515
1753619474.838,568,1516
1753619474.838,567,1517
1753619474.854,566,1519
1753619474.854,566,1521
1753619474.87,563,1523
1753619474.87,562,1524
1753619474.885,562,1527
1753619474.885,561,1528
1753619474.901,560,1529
1753619474.901,560,1530
1753619474.901,559,1531
1753619474.917,558,1532
1753619474.932,557,1534
1753619474.932,555,1535
1753619474.948,555,1536
1753619474.948,555,1537
1753619474.963,554,1538
1753619474.963,553,1539
1753619474.963,553,1542
1753619474.979,552,1543
1753619474.995,551,1545
1753619474.995,550,1546
1753619474.995,550,1548
1753619475.01,548,1549
1753619475.01,548,1550
1753619475.026,547,1551
1753619475.026,546,1552
1753619475.042,545,1553
1753619475.042,545,1554
1753619475.057,544,1556
1753619475.057,544,1557
1753619475.073,543,1558
1753619475.088,543,1559
1753619475.104,542,1559
1753619475.104,542,1560
1753619475.121,541,1561
1753619475.136,541,1562
1753619475.151,539,1563
1753619475.151,539,1565
1753619475.167,538,1566
1753619475.167,537,1568
1753619475.177,537,1569
1753619475.183,536,1572
1753619475.19,535,1573
1753619475.198,533,1576
1753619475.198,533,1577
1753619475.214,532,1578
1753619475.214,532,1579
1753619475.23,531,1580
1753619475.23,531,1581
1753619475.245,530,1582
1753619475.256,530,1583
1753619475.261,530,1585
1753619475.277,529,1586
1753619475.292,528,1587
1753619475.292,528,1588
1753619475.292,528,1589
1753619475.308,526,1592
1753619475.324,525,1594
1753619475.324,524,1596
1753619475.339,524,1597
1753619475.339,523,1598
1753619475.355,523,1600
1753619475.355,523,1601
1753619475.355,522,1603
1753619475.372,522,1605
